"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Sex differences in COVID-19: candidate pathways, genetics of ACE2, and sex hormones","viveiros",2021,"review","ACE2","","","x","","","","covid, immunity, cardiovascular","","","","","","","",""
"2","Skewed escape from x-inactivation: Insights into the female bias of sjÖgren's syndrome","shaw",2021,"experiment","","","","x","skewed xci","x-linked gene expression; xci/exci","","sjogren's syndrome, autoimmune, pathogenesis","","","genome-wide, allele-specific expression profiling using mesencymal stromal cells; pcr; controlled xci","","","","",""
"3","Gender susceptibility to COVID-19: a review of the putative role of sex hormones and X chromosome","foresta",2021,"review","ACE2, TMPRSS2","","","x","","xci, hormones","","covid","","","","","","","",""
"4","Progressive cerebellar degenerative changes in the severe mental retardation syndrome caused by duplication of MECP2 and adjacent loci on Xq28","reardon",2010,"case studies","MECP2, Xq28","","","","","localized duplications","","x-linked mental deficiency, hypotonia, recurrent infections","","","","","","","",""
"5","Sex Differences in Inflammatory Response and Acid-Base Balance in Prepubertal Children with Severe Sepsis","lefevre",2017,"case study","","","","x","","","","acute inflammatory conditions, sepsis","","","""reviewed clinical signs and biological inflammatory markers of prepubertal children qith sever sepsis""","","","","",""
"6","Do sex-specific immunobiological factors and differences in angiotensin converting enzyme 2 (ACE2) expression explain increased severity and mortality of COVID-19 in males?","vikse",2020,"opinion","ACE2","","","x","","sex-specific immunobiological factors","","covid, sars","","","","discussion of it","","","",""
"7","The evolution of powerful yet perilous immune systems","graham",2022,"review","","","x","","","","","infections, immune response","","","","","","","",""
"8","Editorial: Sexual Dimorphism of the Immune Inflammatory Response in Infectious and Non-infectious Diseases","chamekh",2019,"editorial","","","","","","inflammatory response","","infectious, non-infectious diseases","","","","","","","",""
"9","The X chromosome and sex-specific effects in infectious disease susceptibility","schurz",2019,"review","","","","x","","chrx","","immunity","","","","","","","",""
"10","Human Immunodeficiency virus 1 and Type I Interferons-where Sex Makes a Difference","ziegler",2017,"review","","","","x","","hormones, dosage compensation","type one interferons","hiv-1, hiv","","","","","","","",""
"11","Genetics and Vaccine Development for SARS-CoV2 in the Era of Personalized Medicine","tafanidou",2022,"article/op-ed","","","","","","","","covid","","","","personalized medicine","","","",""
"12","Sex-dependent immune response and lethality of COVID-19","li",2021,"review","","","","x","","","","covid","","","","","","","",""
"13","Sex Differences in Immunity to Viral Infections","jacobsen",2021,"","","","","x","","","","covid","","","","","","","",""
"14","What’s Sex Got to Do With COVID-19? Gender-Based Differences in the Host Immune Response to Coronaviruses","gadi",2020,"review","","","","x","","","","covid, immune responses","","","","","","","",""
"15","An exclusively skewed distribution of pediatric immune reconstitution inflammatory syndrome toward the female sex is associated with advanced acquired immune deficiency syndrome","de souza campos fernandes",2019,"study","","","","x","","sex-specific causes and differences, NOT xci","","hiv/aids, hiv, aids antiretroviral therapy, immune reconstitution inflammatory syndrome","","","clinical analysis of IRIS-related infectious events after ART","","","","","skewed distribution is associated with more advanced AIDS"
"16","Epigenetic mechanisms regulating COVID-19 infection","chlamydas",2020,"review","","","","","","","","covid","","x","","","","","",""
"17","Sex differences in NK cells mediated by the X-linked epigenetic regulator UTX","cheng",2022,"study","KDM6A (UTX)","","","x","","","anti-viral natural killer cells","viral infection","","","ATAC-seq, RNAseq","","","","",""
"18","Role of estrogen in suppressing autoimmunity in coxsackievirus B3-induced myocarditis","huber",2010,"","","","","","","estrogen","T cells","picomaviruses, immunity","","","","","","","",""
"19","Type I IFN-dependent antibody response at the basis of sex dimorphism in the outcome of COVID-19","gabriele",2021,"experiment","","","","x","","xci?","plasmacytoid dendritic cells","covid","","","","","","","",""
"20","Time to get ill: the intersection of viral infections, sex, and the X chromosome","forsyth",2021,"review","","","","x","","","","viral infections","","","","","","","",""
"21","Assessment of escape from X chromosome inactivation on the single cell level in human pDCs","hagen",2019,"experiment","TLR7","","","x","","exci, differential gene expression (biallelic v monoallelic)","plasmacytoid dendritic cells","infectious, autoimmune disease","","","""The aim of this project was to investigate on the single cell level whether pDCs with escape from XCI in TLR7 have a superior capacity of transcribing IFNα mRNA""","","","","",""
"22","Immune mechanisms associated with sex-based differences in severe COVID-19 clinical outcomes","Arnold",2022,"review","","","","x","","xci","","immune, covid, sars-cov-2","","","","","","","",""
"23","The X chromosome and sex-specific effects in infectious disease susceptibility","Schurz",2019,"review","","","","x","","exci, skewed xci","","infectious disease, immune, tuberculosis","","","","","","","",""
