"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Escaping x-inactivation: A new perspective on Kiaa2022-related disorder","le pichon",2016,"case study","KIAA2022","","","","","xci, exci, mono-allelic expression","","epilepsy, neurological, intellectual disability","","","case study","","","","",""
"2","Rett syndrome: clinical correlates of the newly discovered gene","percy",2001,"","MECP2","","","","","xci","","rett syndrome, neurological","","","","","","","",""
"3","DNA methylation analysis of putative schizophrenia susceptibility genes in the human dorsolateral prefrontal cortex across the lifespan","guitart",2010,"study","","several specific genes (schizophrenia susceptibility genes)","","","","","","neurological, schizophrenia","","dna methylation","methylation assay","","","","",""
"4","Programming prenatal female resilience: Epigenetic mechanisms of the X","bale",2016,"analysis","OGT (escape XCI)","","","x","","prenatal stress","","neurodevelopmental disorders","","histone methylation","mouse model/sequencing/protein biochem","","","","",""
"5","Differential Regulation of Mouse Hippocampal Gene Expression Sex Differences by Chromosomal Content and Gonadal Sex","ocañas",2022,"study","","x","","x","","","","neurological diseases","","x","four core genotypes mouse model; trascriptpmic and epigenomic anlyses ","","","","",""
"6","Sex-specific differences in expression of histone demethylases Utx and Uty in mouse brain and neurons","xu",2008,"","UTX/UTY","","","x","","exci","","neurological diseases","","","mice","","","","",""
"7","Different patterns of allelic loss (loss of heterozygosity) in recurrent human pituitary tumors provide evidence for multiclonal origins","clayton",2000,"experiment","","","","","","de novo somatic mutations within single pituitary cell; clones?","","human pituitary tumors","","","pcr amplification ","","","x","",""
"8","Sex chromosome abnormalities and psychiatric diseases","zhang",2017,"review","","","","","","sex chromosome abnormalities","","psychiatric diseases, neurological","","","","","","","",""
"9","X-linked ubiquitin-specific peptidase 11 increases tauopathy vulnerability in women","yan",2022,"experiment","USP11","","","x","","","","tau burden/alzheimer's ","","","in vitro/invivo (taupathy) models, brain-tissue","","","","",""
"10","An integrative view on sex differences in brain tumors","sun",2015,"perspective","","","","x","","","","brain tumor","","","","sort of","","","",""
"11","Gonadal hormone-independent sex differences in GABA(A) receptor activation in rat embryonic hypothalamic neurons","mir",2020,"experiment","","","","x","","some hormone stuff","GABA(A) receptors","brain masculinisation","","","rat hypethalamic neurons; calcium imaging and electrophysiology recordings","","","","",""
"12","Touchscreen cognitive deficits, hyperexcitability and hyperactivity in males and females using two models of Cdkl5 deficiency","adhikari",2022,"study","CDKL5","","","x","","mutations on chrX; loss of CDKL5","","neurodevelopmental disorders, cdkl5 deficiency disorder","","","phenotypic study (?); two mice models","","","","",""
"13","A Key Characteristic of Sex Differences in the Developing Brain: Greater Variability in Brain Structure of Boys than Girls","wierenga",2018,"study","","","","x","","","","cognitive and personality variability, key brain structures","","","cohort study of 643 males and 591 females between 3-21","","","","",""
"14","Transcriptomic analysis of the hippocampus from six inbred strains of mice suggests a basis for sex-specific susceptibility and severity of neurological disorders","vied",2016,"analysis","129S1/SvImJ, A/J, C57BL/6J, DBA/1J, DBA/2J, and PWD/Ph","","","x","","","","neurological, behavioral disorders","","","analysis of transcriptomic data from mouse hippocampus of six inbred strains; examine gene ontology and pathway, and phenotype enrichment","","","","",""
"15","Allelic mRNA expression of X-linked monoamine oxidase a (MAOA) in human brain: Dissection of epigenetic and genetic factors","pinosonneault",2006,"experiment","MAOA","","","","x","pVNTR repeat polymorphism","","mental disorders","","","measured allelic expression imbalance in female human brain tissue","","","","",""
"16","IQSEC2-related encephalopathy in males and females: a comparative study including 37 novel patients","mignot",2019,"study","IQSEC2","","","x","","exci","","intellectual disability, epilepsy","","","comparison of variant and phenotypes, analysis of IQSEC2 isoforms","","","","",""
"17","Monoallelic expression of MAOA in skin fibroblasts","nordquist",2006,"study","x-linked MAO-A gene","","","x","","xci mosaicism; exci","","serotonin system","embryonic development","","","","","","",""
"18","A review of X-linked Charcot-Marie-Tooth disease","wang",2016,"review","CMTX/CMT","","","","","central nervous system manifestations of CMTX1","","charcot-marie-tooth disease, nervous system","","","","","","","",""
"19","Separate effects of sex hormones and sex chromosomes on brain structure and function revealed by high-resolution magnetic resonance imaging and spatial navigation assessment of the Four Core Genotype mouse model","corre",2016,"study","","","","x","","sex hormones and chromosomes","","brain structure and function, brain","","","four core genotype mice, high resolution ex vivo MRI","","","","",""
"20","Complex Segmental Duplications Mediate a Recurrent dup(X)(p11.22-p11.23) Associated with Mental Retardation, Speech Delay, and EEG Anomalies in Males and Females","giorda",2009,"analysis,study","Xp11.22-p11.23","","","","","submicroscopic copy-number variations, de novo recurrent duplications, xci","","idiopathic intellectual disability, speech delay, peculiar electroencephalographic","","","whole-genome oligonucleotide-based array comparative genomic hybridization","","","","",""
"21","Reversible histone methylation regulates brain gene expression and behavior","xu",2011,"","JARID1C, UTX","","","","","epigenetic chromatin remodeling, aberrant chromatin modifications","","neuropsychatric disorders","","x","","","","","",""
"22","Gender-specific gene expression in post-mortem human brain: Localization to sex chromosomes","vawter",2004,"study","""Differentially expressed genes between males and females on the Y chromosome (DBY, SMCY, UTY, RPS4Y, and USP9Y) and X chromosome (XIST)""","","","x (gender)","","gene expression, cell types, regional expression","","neuropsychiatric disorders, depression","","","Affymetrix oligonucleotide microarray platform","","","","",""
"23","GLA variation p.E66Q identified as the genetic etiology of Fabry disease using exome sequencing","peng",2016,"study, subsequent clinical review","α-galactosidase A gene GLA, vartiation p.E66Q","","","x","","genetic mutation, preferential xci in females","","fabry disease","","","exome and sanger sequencing","","","","",""
"24","A starring role for microglia in brain sex differences","lenz",2015,"review","","","","","","","microglia","brain-based disorders, brain","brain development","","","","","","x",""
"25","Genetic and Epigenetic Factors Underlying Sex Differences in the Regulation of Gene Expression in the Brain","ratnu",2017,"","","","","x","dosage of x and   y","sex-specific molecular processes in the brain","","brain function, neuropsychiatric disorders","","","","","","","",""
"26","Fabry disease: An ultrastructural comparative study of skin in hemizygous and heterozygous patients","navarro",2006,"study","","","","x","","alpha galactosidase A deficiency, levels of enzymatic activity in accordnce with xci","","x-linked lysosomal storage diorder, fabry disease","","","""electron microscopy and quantitative methods, we studied the extent of lysosomal deposits in dermal fibroblasts of normal-appearing skin in six females and nine men""","","","","",""
"27","Xq22 deletions and correlation with distinct neurological disease traits in females: Further evidence for a contiguous gene syndrome","hijazi",2020,"study","PLP1","","","","","Xq22 deletions, skewed xci, breakpoints","","neurological disease","","","cohort of eight unrelated patients with these deletions > high-density array comprative genomic hybridization and breakpoint-junction sequencing","","","","",""
"28","Sexually dimorphic expression of the X-linked gene Eif2s3x mRNA but not protein in mouse brain","xu",2006,"experiment","Eif2s3x ","","","x","","xci, exci (mouse and human)","","brain sexual differentiation, brain","","","northern blot analysis, in situ hybridization","","","","",""
"29","X chromosome inactivation in blood and prefrontal cortex of women with alcoholism","manzardo",2011,"study","","","","","","xci, xci skewing (not significant)","","alcoholism, primary alcoholism, neurological, embryonic development","","","PCR of the polymorphic androgen receptor gene on long arm of chrX","","","","",""
"30","Fabry's Disease Presenting as Stroke in a Young Female","giacomini",2004,"case study","","","","x","","","","fabry's disease","","","","","","","",""
