"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Escaping x-inactivation: A new perspective on Kiaa2022-related disorder","le pichon",2016,"case study","KIAA2022","","","","","xci, exci, mono-allelic expression","","epilepsy, neurological, intellectual disability","","","case study","","","","",""
"2","Understanding the Landscape of X-linked Variants Causing Intellectual Disability in Females Through Extreme X Chromosome Inactivation Skewing","vianna",2020,"experiment","NLGN4X, HDAC8, TAF1, and USP9X","","","x","","xci","","intellectual disability ","","","extreme xci skewing to predicr x-linked variants in females","","","","",""
"3","IQSEC2-related encephalopathy in males and females: a comparative study including 37 novel patients","mignot",2019,"study","IQSEC2","","","x","","exci","","intellectual disability, epilepsy","","","comparison of variant and phenotypes, analysis of IQSEC2 isoforms","","","","",""
"4","Testing for evidence of an X-linked genetic basis for a greater proportion of males with high cognitive ability","giummo",2012,"study","","","","x","","""variabiloty of expression on chrX""","","cognitive ability","","","proposing method; ""utilizes exogenous variation in the maternal X chromosome of twins to test the effect of sex on within-pair variation""; linear regression model","","","","",""
"5","No major role for X-inactivation in variations of intelligence and behavioral problems at middle childhood","peerbooms",2010,"study","","","","","","xci","","intelligence, child behvioral problems","","","","","","","","interesting..."
"6","Complex Segmental Duplications Mediate a Recurrent dup(X)(p11.22-p11.23) Associated with Mental Retardation, Speech Delay, and EEG Anomalies in Males and Females","giorda",2009,"analysis,study","Xp11.22-p11.23","","","","","submicroscopic copy-number variations, de novo recurrent duplications, xci","","idiopathic intellectual disability, speech delay, peculiar electroencephalographic","","","whole-genome oligonucleotide-based array comparative genomic hybridization","","","","",""
"7","Examining the contribution of histone modification to sex differences in learning and memory","keiser",2019,"review ","","epigenome?","","x","","","","learning, memory","","chromatin modification","","","","","",""
"8","Down's syndrome in the male. Reproductive pathology and meiotic studies","johannisson",1983,"case study","","","","","","trisomy chr21 ","testicular histology","down's syndrome, spermatogensis, reproductive function","","","light/electron microscopy","","","","",""
"9","Multilocus loss of DNA methylation in individuals with mutations in the histone H3 Lysine 4 Demethylase KDM5C","grafodatsakaya",2013,"study","kdm5c","","","maybe","","","","intellectual disability","","epigenetic alterations","genome-wide approach to identidy significant DNA methyltion loss in the blood of males with intellectual disabilities and mutations ","","","","",""
"10","Sex differences in protein expression in the mouse brain and their perturbations in a model of Down syndrome","block",2015,"experiment","DP10","","","x","","overexpression","","down syndrome","","","mouse model","","","","",""
"11","Deletions in Xq26.3-q27.3 including FMR1 result in a severe phenotype in a male and variable phenotypes in females depending upon the X inactivation pattern","wolff",1997,"family case study","FMR1, Xq26.3-q27.3","","","","","cytogenetic deletion","","fragile x, intellectual, neurological development","","methylation analyses","case studies  of two families","","","","",""
