"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Placental energy metabolism in health and disease-significance of development and implications for preeclampsia","aye",2022,"review","","","","","","metabolic regulation","","placental metabolic dysfunction","x","","","","","","","potentially mention epigenetics/xci based on topics"
"2","Review: Sex and the Human Placenta: Mediating Differential Strategies of Fetal Growth and Survival","clifton",2010,"review","","","","x","","sex specific alterations in placental function","","fetal and neonatal morbitiy and mortalitity","x","","","","","","",""
"3","The role of the X Chromosome in early human embryo metabolism","groff",2021,"experiment","","","","x","x","xci","","embryo metabolism","x","","rnaseq, ceell models","","","","",""
"4","Deletions on mouse Yq lead to upregulation of multiple X- and Y-linked transcripts in spermatids","ellis",2005,"study","","","","x","","deletions on mouse chrY long arm","","tetrazoospermia","","","","","","x","",""
"5","Hypothesis: the female excess in cranial neural tube defects reflects an epigenetic drag of the inactivating X chromosome on the molecular mechanisms of neural fold elevation","juriloff",2012,"","","","","x","","","","cranial neural tube defect","x","x","","","","x","",""
"6","Autosomal chromosome microdeletions in three adolescent girls with premature ovarian insufficiency: a case report","yuan",2022,"study","","","","","","autosomal chromosome microdeletions in ovarian failure","","premature ovarian insufficiency","","","clinical evaluation, hormonal tests, abdominal ultrasonography, chromosome karyotyping","","","","","pediatric"
"7","Role of the chromosome architectural factor SMCHD1 in X-chromosome inactivation, gene regulation, and disease in humans","wang",2019,"analysis","SMCHD1","","","interestingly, they're noting no sex differences despite xci","dosage imbalance","xci; homozygous nonsense mutations","","congenital arhinia, facioscapulohumeral muscular dystrophy type 2","","","analysis of transcriptomic data from arinhia and FSHD2 patient blood and muscle cells","","","","",""
"8","Neural tube defects, sex ratios, and X inactivation","hall",1986,"review","","","","x?","","xci","","neural tube defects","embryonic development","","case review of 529 cases of neural tube defects","","","","",""
"9","A case of mixed gonadal dysgenesis with structural abnormalities of X chromosome (Xp+)","watanabe",1985,"case study","","","","","","extra band on short arm of chrX","","mixed gonadal dysgenesis","","","","","","","",""
"10","Fine mapping of the distal short arm of the human X chromosome using X/Y translocations","geller",1986,"experiment","MIC2X","","","","","","","sts","","",""" fibroblasts from carriers of four different X/Y translocations and an X/10 translocation were obtained and fused with mouse cell lines deficient in hypoxanthine phosphoribosyltransferase""","","","","",""
