"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"1",168,"Illuminating the Mechanisms Underlying Sex Differences in Cardiovascular Disease",2022,"Circulation Research","Reue, K. and Wiese, C. B.","Sex is a key risk factor for many types of cardiovascular disease. It is imperative to understand the mechanisms underlying sex differences to devise optimal preventive and therapeutic approaches for all individuals. Both biological sex (determined by sex chromosomes and gonadal hormones) and gender (social and cultural behaviors associated with femininity or masculinity) influence differences between men and women in disease susceptibility and pathology. Here, we focus on the application of experimental mouse models that elucidate the influence of 2 components of biological sex - sex chromosome complement (XX or XY) and gonad type (ovaries or testes). These models have revealed that in addition to well-known effects of gonadal hormones, sex chromosome complement influences cardiovascular risk factors, such as plasma cholesterol levels and adiposity, as well as the development of atherosclerosis and pulmonary hypertension. One mechanism by which sex chromosome dosage influences cardiometabolic traits is through sex-biased expression of X chromosome genes that escape X inactivation. These include chromatin-modifying enzymes that regulate gene expression throughout the genome. The identification of factors that determine sex-biased gene expression and cardiometabolic traits will expand our mechanistic understanding of cardiovascular disease processes and provide insight into sex differences that remain throughout the lifespan as gonadal hormone levels alter with age.`","experiment","","chromatin-modifying enzymes","","x","EXCI","cardiovascular, cardiac, adiposity, atherosclerosis, pulmonary hypertension","x","","","","","very relevant"
"2",184,"Long noncoding RNA XIST: Mechanisms for X chromosome inactivation, roles in sex-biased diseases, and therapeutic opportunities",2022,"Genes and Diseases","Li, J. and Ming, Z. and Yang, L. and Wang, T. and Liu, G. and Ma, Q.","Sexual dimorphism has been reported in various human diseases including autoimmune diseases, neurological diseases, pulmonary arterial hypertension, and some types of cancers, although the underlying mechanisms remain poorly understood. The long noncoding RNA (lncRNA) X-inactive specific transcript (XIST) is involved in X chromosome inactivation (XCI) in female placental mammals, a process that ensures the balanced expression dosage of X-linked genes between sexes. XIST is abnormally expressed in many sex-biased diseases. In addition, escape from XIST-mediated XCI and skewed XCI also contribute to sex-biased diseases. Therefore, its expression or modification can be regarded as a biomarker for the diagnosis and prognosis of many sex-biased diseases. Genetic manipulation of XIST expression can inhibit the progression of some of these diseases in animal models, and therefore XIST has been proposed as a potential therapeutic target. In this manuscript, we summarize the current knowledge about the mechanisms for XIST-mediated XCI and the roles of XIST in sex-biased diseases, and discuss potential therapeutic strategies targeting XIST.","review","Xist","","","","XCI, Xist regulation","autoimmune, neurological, pulmonary hypertension, cancer","","","","","","very relevant, exactly what we want to write"
"3",357,"Genes That Escape X Chromosome Inactivation Modulate Sex Differences in Valve Myofibroblasts",2022,"Circulation","Aguado, B. A. and Walker, C. J. and Grim, J. C. and Schroeder, M. E. and Batan, D. and Vogt, B. J. and Rodriguez, A. G. and Schwisow, J. A. and Moulton, K. S. and Weiss, R. M. and Heistad, D. D. and Leinwand, L. A. and Anseth, K. S.","BACKGROUND: Aortic valve stenosis is a sexually dimorphic disease, with women often presenting with sustained fibrosis and men with more extensive calcification. However, the intracellular molecular mechanisms that drive these clinically important sex differences remain underexplored. METHODS: Hydrogel biomaterials were designed to recapitulate key aspects of the valve tissue microenvironment and to serve as a culture platform for sex-specific valvular interstitial cells (VICs; precursors to profibrotic myofibroblasts). The hydrogel culture system was used to interrogate intracellular pathways involved in sex-dependent VIC-to-myofibroblast activation and deactivation. RNA sequencing was used to define pathways involved in driving sex-dependent activation. Interventions with small molecule inhibitors and siRNA transfections were performed to provide mechanistic insight into sex-specific cellular responses to microenvironmental cues, including matrix stiffness and exogenously delivered biochemical factors. RESULTS: In both healthy porcine and human aortic valves, female leaflets had higher baseline activation of the myofibroblast marker α-smooth muscle actin compared with male leaflets. When isolated and cultured, female porcine and human VICs had higher levels of basal α-smooth muscle actin stress fibers that further increased in response to the hydrogel matrix stiffness, both of which were higher than in male VICs. A transcriptomic analysis of male and female porcine VICs revealed Rho-associated protein kinase signaling as a potential driver of this sex-dependent myofibroblast activation. Furthermore, we found that genes that escape X-chromosome inactivation such as BMX and STS (encoding for Bmx nonreceptor tyrosine kinase and steroid sulfatase, respectively) partially regulate the elevated female myofibroblast activation through Rho-associated protein kinase signaling. This finding was confirmed by treating male and female VICs with endothelin-1 and plasminogen activator inhibitor-1, factors that are secreted by endothelial cells and known to drive myofibroblast activation through Rho-associated protein kinase signaling. CONCLUSIONS: Together, in vivo and in vitro results confirm sex dependencies in myofibroblast activation pathways and implicate genes that escape X-chromosome inactivation in regulating sex differences in myofibroblast activation and subsequent aortic valve stenosis progression. Our results underscore the importance of considering sex as a biological variable to understand the molecular mechanisms of aortic valve stenosis and to help guide sex-based precision therapies.","experiment","BMX, STS","","","","EXCI","cardiac, aortic valve stenosis ","","RNA sequencing","","","","relevant"
"4",170,"Gender, aging and longevity in humans: an update of an intriguing/neglected scenario paving the way to a gender-specific medicine",2016,"Clinical Science","Ostan, R. and Monti, D. and Gueresi, P. and Bussolotto, M. and Franceschi, C. and Baggio, G.","Data showing a remarkable gender difference in life expectancy and mortality, including survival to extreme age, are reviewed starting from clinical and demographic data and stressing the importance of a comprehensive historical perspective and a gene-environment/lifestyle interaction. Gender difference regarding prevalence and incidence of the most important age-related diseases, such as cardiovascular and neurodegenerative diseases, cancer, Type 2 diabetes, disability, autoimmunity and infections, are reviewed and updated with particular attention to the role of the immune system and immunosenescence. On the whole, gender differences appear to be pervasive and still poorly considered and investigated despite their biomedical relevance. The basic biological mechanisms responsible for gender differences in aging and longevity are quite complex and still poorly understood. The present review focuses on centenarians and their offspring as a model of healthy aging and summarizes available knowledge on three basic biological phenomena, i.e. age-related X chromosome inactivation skewing, gut microbiome changes and maternally inherited mitochondrial DNA genetic variants. In conclusion, an appropriate gender-specific medicine approach is urgently needed and should be systematically pursued in studies on healthy aging, longevity and age-related diseases, in a globalized world characterized by great gender differences which have a high impact on health and diseases.","review","","","","","XCI","cardiovascular, neurological, cancer, type 2 diabetes, disability, autoimmune, infection","","","","","","relevant"
"5",74,"Sex-linked genetic mechanisms and atrial fibrillation risk",2022,"Eur J Med Genet","Wren, G. and Davies, W.","Atrial fibrillation (AF) is a cardiac condition characterised by an irregular heartbeat, atrial pathology and an elevated downstream risk of thrombosis and heart failure, as well as neurological sequelae including stroke and dementia. The prevalence and presentation of, risk factors for, and therapeutic responses to, AF differ by sex, and this sex bias may be partially explained in terms of genetics. Here, we consider four sex-linked genetic mechanisms that may influence sex-biased phenotypes related to AF and provide examples of each: X-linked gene dosage, X-linked genomic imprinting, sex-biased autosomal gene expression, and male-limited Y-linked gene expression. We highlight novel candidate risk genes and pathways that warrant further investigation in clinical and preclinical studies. Understanding the biological basis of sex differences in AF should allow better prediction of disease risk, identification of novel risk/protective factors, and the development of more effective sex-tailored interventions.","","x","x","","x","imprinting, male-limited Y-linked gene expression","atrial fibrillation, cardiac, stroke, dementia","imprinting","","","","","might give example mechanisms that we can use "
"6",90,"Inflammatory serum factors from aortic valve stenosis patients modulate sex differences in valvular myofibroblast activation and osteoblast-like differentiation",2022,"Biomaterials Science","Vogt, B. J. and Peters, D. K. and Anseth, K. S. and Aguado, B. A.","Aortic valve stenosis (AVS) is a sexually dimorphic cardiovascular disease that is driven by fibrosis and calcification of the aortic valve leaflets. Circulating inflammatory factors present in serum from AVS patients contribute to sex differences in valve fibro-calcification by driving the activation of valvular interstitial cells (VICs) to myofibroblasts and/or osteoblast-like cells. However, the molecular mechanisms by which inflammatory factors contribute to sex-specific valve fibro-calcification remain largely unknown. In this study, we identified inflammatory factors present in serum samples from AVS patients that regulate sex-specific myofibroblast activation and osteoblast-like differentiation. After correlating serum proteomic datasets with clinical and in vitro myofibroblast datasets, we identified annexin A2 and cystatin C as candidate inflammatory factors that correlate with both AVS patient severity and myofibroblast activation measurements in vitro. Validation experiments utilizing hydrogel biomaterials as cell culture platforms that mimic the valve extracellular matrix confirmed that annexin A2 and cystatin C promote sex-specific VIC activation to myofibroblasts via p38 MAPK signaling. Additionally, annexin A2 and cystatin C increase osteoblast-like differentiation primarily in male VICs. Our results implicate serum inflammatory factors as potential AVS biomarkers that also contribute to sexually dimorphic AVS progression by driving VIC myofibroblast activation and/or osteoblast-like differentiation. Collectively, the results herein further our overall understanding as to how biological sex may impact inflammation-driven AVS and may lead to the development of sex-specific drug treatment strategies.","experiment","p38 MAPK, annexin A2, cystatin C","x","","","","aortic valve stenosis (avs), cardiac","","","","x","",""
"7",335,"The Impact of Sex Chromosomes in the Sexual Dimorphism of Pulmonary Arterial Hypertension",2022,"American Journal of Pathology","Predescu, D. N. and Mokhlesi, B. and Predescu, S. A.","Pulmonary arterial hypertension (PAH) is a sex-biased disease with a poorly understood female prevalence. Emerging research suggests that nonhormonal factors, such as the XX or XY sex chromosome complement and sex bias in gene expression, may also lead to sex-based differences in PAH incidence, penetrance, and progression. Typically, one of females' two X chromosomes is epigenetically silenced to offer a gender-balanced gene expression. Recent data demonstrate that the long noncoding RNA X-inactive specific transcript, essential for X chromosome inactivation and dosage compensation of X-linked gene expression, shows elevated levels in female PAH lung specimens compared with controls. This molecular event leads to incomplete inactivation of the females' second X chromosome, abnormal expression of X-linked gene(s) involved in PAH pathophysiology, and a pulmonary artery endothelial cell (PAEC) proliferative phenotype. Moreover, the pathogenic proliferative p38 mitogen-activated protein kinase/ETS transcription factor ELK1 (Elk1)/cFos signaling is mechanistically linked to the sexually dimorphic proliferative response of PAECs in PAH. Apprehending the complicated relationship between long noncoding RNA X-inactive specific transcript and X-linked genes and how this relationship integrates into a sexually dimorphic proliferation of PAECs and PAH sex paradox remain challenging. We highlight herein new findings related to how the sex chromosome complement and sex-differentiated epigenetic mechanisms to control gene expression are decisive players in the sexual dimorphism of PAH. Pharmacologic interventions in the light of the newly elucidated mechanisms are discussed.","experiment","Xist, ELK1","XCI","","","pulmonary artery endothelial cell (PAEC) proliferation","pulmonary hypertension","","","","","","This molecular event leads to incomplete inactivation of the females' second X chromosome, abnormal expression of X-linked gene(s) involved in PAH pathophysiology, and a pulmonary artery endothelial cell (PAEC) proliferative phenotype."
"8",341,"Elucidation of penetrance variability of a ZIC3 mutation in a family with complex heart defects and functional analysis of ZIC3 mutations in the first zinc finger domain",2007,"Hum Mutat","Chhin, B. and Hatayama, M. and Bozon, D. and Ogawa, M. and Schön, P. and Tohmonda, T. and Sassolas, F. and Aruga, J. and Valard, A. G. and Chen, S. C. and Bouvagnet, P.","We studied a series of 42 cases of transposition of the great arteries (TGA), a complex heart defect (CHD) that is two times more prevalent in males than in females. A mutation in the X chromosome at the ZIC3 gene was found in two affected siblings (one male, one female) and their unaffected mother. A second factor, skewed X-inactivation pattern explained the discrepancy between the daughter/mother phenotype. In this family, the missense mutation (p.W255G) was found in the first zinc finger of ZIC3, a domain that is relatively specific to each of the five human ZIC genes. It was tested further along with two other mutations of this domain (p.C253S and p.H286R). In transfected 3T3 cells, mutants p.W255G and p.H286R expressed lower protein levels, and an increased protein degradation (p.W255G only). Moreover, mutants p.C253S and p.W255G had a decreased transcription activation of the TK-luciferase reporter gene. Nuclear translocation of the three ZIC3 mutants varied considerably depending on the experimental models. Finally, p.W255G and p.H286R showed diminished activities for both left-right axis disturbance and neural crest induction in Xenopus embryos. These results suggest that mutations in the first zinc finger of ZIC3 mildly affect several functions of the protein.","experiment","ZIC3","","","x","skewed XCI","cardiac","","","","","",""
"9",365,"Nonsense variants in STAG2 result in distinct sex-dependent phenotypes",2019,"J Hum Genet","Aoi, H. and Lei, M. and Mizuguchi, T. and Nishioka, N. and Goto, T. and Miyama, S. and Suzuki, T. and Iwama, K. and Uchiyama, Y. and Mitsuhashi, S. and Itakura, A. and Takeda, S. and Matsumoto, N.","We herein report two individuals with novel nonsense mutations in STAG2 on Xq25, encoding stromal antigen 2, a component of the cohesion complex. A male fetus (Case 1) clinically presented with holoprosencephaly, cleft palate and lip, blepharophimosis, nasal bone absence, and hypolastic left heart by ultrasonography at 15 gestational weeks. Another female patient (Case 2) showed a distinct phenotype with white matter hypoplasia, cleft palate, developmental delay (DD), and intellectual disability (ID) at 7 years. Whole-exome sequencing identified de novo nonsense mutations in STAG2: c.3097C>T, p.(Arg1033*) in Case 1 and c.2229G>A, p.(Trp743*) in Case 2. X-inactivation was highly skewed in Case 2. To date, only 10 STAG2 pathogenic variants (four nonsense, four missense, and two frameshift) have been reported in patients with multiple congenital anomalies, ID, and DD. Although Case 2 showed similar clinical features to the reported female patients with STAG2 abnormalities, Case 1 showed an extremely severe phenotype, which could be explained by the first detected truncating variant in males.","experiment","STAG2","","","","","holoprosencephaly, cleft palate and lip, blepharophimosis, nasal bone absence, hypolastic left heart, intellectual disability","","case study","","","",""
"10",396,"""Woman effect"" on cardiomyopathy",2012,"Giornale Italiano di Cardiologia","Biagini, E. and Berardini, A. and Graziosi, M. and Rosmini, S. and Pazzi, C. and Rapezzi, C.","The role of a gender effect (that means differences in clinical manifestations, access to therapies and response to treatments according to gender) in cardiomyopathies remains a matter of debate. Although recent studies have evaluated the differences in the clinical features and prognosis between the two sexes, many issues remain to be elucidated. At present, the only sex-specific condition that affects females is peripartum cardiomyopathy. Recent evidence suggests a pathogenetic role of a prolactin derivative, and ongoing clinical trials are investigating the possibility of targeted therapies using prolactin secretion inhibitors, such as bromocriptine and carbegoline. Although women were considered so far only carriers of X-linked diseases (Anderson-Fabry disease, Danon disease, Hunter syndrome and dystrophinopathies), clinical experience showed a wide spectrum of clinical manifestations in females due to random X chromosome inactivation. Conversely, in mitochondrial diseases (with matrilineal inheritance), cardiomyopathies may occur in the context of clinical multisystemic involvement without significant gender-related differences. Autosomal inherited cardiomyopathies also show different phenotypes and prognostic impact according to gender. The hypothesis of a premenopausal protective role of female hormones towards myocardial involvement has been raised by recent data on transtiretin-related amyloidosis and hypertrophic cardiomyopathy. Preexisting cardiomyopathies may affect pregnancy, labor and delivery in women, since all these conditions are associated with important hemodynamic changes. Women with low-risk hypertrophic cardiomyopathy (asymptomatic and without left ventricular outflow tract gradient) usually can tolerate pregnancy. Conversely, women who are symptomatic before pregnancy or have severe hypertrophy with important outflow tract gradient are at higher risk and should be referred to a tertiary center to be evaluated on a case by case basis. Pregnancy in women with dilated cardiomyopathy and significant left ventricular systolic dysfunction represents a high-risk condition. In addition, information on the clinical course and potential complications in pregnant women with arrhythmogenic right ventricular cardiomyopathy or restrictive cardiomyopathy is limited to individual reports. © 2012 Il Pensiero Scientifico Editore.","review","","","","","mosaicism","cardiomyopathy","","","","x","",""
