"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Rett syndrome: clinical correlates of the newly discovered gene","percy",2001,"","MECP2","","","","","xci","","rett syndrome, neurological","","","","","","","",""
"2","X-linked agammaglobulinemia","timmers",1991,"experiment","XLA gene","","","","","","","x-linked agammaglobulinemia","","","restriction length polymorphisim and gel electrophoreisis","","","x","",""
"3","Similar increase in bone resorption and decrease in bone mass but opposite effects in osteocytic gene expression in female versus male mice with FMR1 deletion, a model of fragile X syndrome","davis",2017,"experiment","FMR1","","","x","","FMR1 deletion","","fragile x syndrome, x-linked disease, bone density","","","mice","","","","",""
"4","X inactivation plays a major role in the gender bias in somatic expansion in a mouse model of the fragile X-related disorders: Implications for the mechanism of repeat expansion","adihe lokanga",2014,"experiment","FMR1","","","x","","somatic nucleotide repeat expansion","","fragile x-related disorders","","","knockout mice model","","","","",""
"5","Allelic inactivation of the pseudoautosomal gene SYBL1 is controlled by epigenetic mechanisms common to the X and Y chromosomes","matazzaro",2002,"experiment","SYBL1","","","","","x and y inactivation","","icf syndrome","","dna methylation","dna methylation profiles; sequencing","","","","",""
"6","Sexually dimorphic expression of Usp9x is related to sex chromosome complement in adult mouse brain","xu",2005,"","Usp9x","","","x","genomic dose","amount of ubiquitin protease","synaptic development","xo turner syndrome","","","","","","","",""
"7","Human induced pluripotent stem cells from two azoospermic patients with Klinefelter syndrome show similar X chromosome inactivation behavior to female pluripotent stem cells","panula",2019,"experiment","H3K27me3","x","","","","xci of klinefelter syndrome-derived hiPSCs","human induced pluripotent stem cells","klinefelter genotype","","RNA FISH","hiPSCs based on H3K27me3 staining and x-inactive specific transcript gene expression disregarding the at least three XCI states that female hiPSCs display in culture; azoospermic; whole genome transcriptomics analysis","","","","",""
"8","Mutation Update for Kabuki Syndrome Genes KMT2D and KDM6A and Further Delineation of X-Linked Kabuki Syndrome Subtype 2","Bögershausen",2016,"study","KMT2D, KDM6A, KDM6C","","","","","","","kabuki syndrome","","","mutation screening; clinical study","","","","",""
"9","Root lengths in the permanent teeth of Klinefelter (47,XXY) men","lahdesmaki",2007,"study","","","","","","","","teeth, klinefelter","","","","","","","x","i literally don't gaf this is not relevant to what we're doing"
"10","Clinical, biochemical, and genetic characterization of north American patients with erythropoietic protoporphyria and x-linked protoporphyria","balwani",2017,"study","FECH","","","","","","","autosomal recessive erythropoietic protoporphyria and x-linked protoporphyria","","","prospective observational study to determine baseline clinical characteristics, genotypes, and determinants of disease severity","","","","",""
"11","Beckwith-Wiedemann syndrome and pseudohypoparathyroidism type Ib in a patient with multilocus imprinting disturbance: a female-dominant phenomenon?","sano",2016,"case study","","","","x","","multilocus disturbance at differentially methylated regions; marked methylation defects; xci","","imprinting disorders","","","molecular studies","","","","",""
"12","X-inactivation modifies disease severity in female carriers of murine X-linked Alport syndrome","rheault",2010,"experiment","Col4a5","","","","","xci","","x-linked alport syndrome","","","mouse model; allele-specific mRNA expression assays","","","","",""
"13","The MECP2 variant c.925C>T (p.Arg309Trp) causes intellectual disability in both males and females without classic features of Rett syndrome","Schönewolf-Greulich",2016,"clinical study","MECP2, ARG309","","","","","xci pattern","","rett syndrome","","","clinical descriptions","","","","",""
"14","Charcot-marie-tooth disease type 1X in women: Electrodiagnostic findings","jerath",2016,"study","","","","x?","","","","charcot-marie-tooth disease type 1x","","","retrospective review of electrodiagnostic findings","","","","",""
"15","Effects of Treatment with Oxandrolone for 4 Years on the Frequency of Severe Arithmetic Learning Disability in Girls with Turner Syndrome","ross",2009,"study","","","","","","","","turner sydrome","","","four year long clinical study","androgen treatment performance","","","",""
"16","Woman with x-linked recessive dystonia-parkinsonism: clue to the epidemiology of parkinsonism in Filipino women?","domingo",2014,"study","","","","x","","skewed xci","","x-linked dystonia-parkinsonism, lubag disease","","","","","not race but study focused in flilipino women","","",""
"17","Overall and allele-specific expression of the SMC1A gene in female Cornelia de Lange syndrome patients and healthy controls","parenti",2014,"study","SMC1A, SMC3, RAD21","","","ehhh...","","mutations in genes encoding subunits or regulators of the cohesin complex","","cornelia de lange syndrome","","","evaluated overall and allele-specific SMC1A expression; PCR analysis","","","","",""
"18","Progressive cerebellar degenerative changes in the severe mental retardation syndrome caused by duplication of MECP2 and adjacent loci on Xq28","reardon",2010,"case studies","MECP2, Xq28","","","","","localized duplications","","x-linked mental deficiency, hypotonia, recurrent infections","","","","","","","",""
"19","An explanation for another familial case of Rett syndrome: Maternal germline mosaicism","venancio",2007,"case study","MECP2","","","","","mutations, chrX, xci, specific type of mutation (p.Arg270fs)","","rett syndrome","","","","","","","",""
"20","An update on oculocerebrocutaneous (Delleman-Oorthuys) syndrome","moog",2018,"review","","","","x","","","","oculocerebrocutaneous syndrome","","","based on previous review of 40 patients with OCCS, whole exome/genome sequencing","","","","",""
"21","MECP2 duplication syndrome in both genders","shimada",2013,"study","MECP2","","","x","","MECP2 duplication, xci","","mecp2 duplication syndrome","","","four patient studies (phenotype, xci pattern analysis, brain MRI)","","","","",""
"22","Possible erasure of the imprint on a fragile X chromosome when transmitted by a male","laird",1991,"case studies, pedigree studies","","","","","","","","fragile x syndrome","","","interpretation within context of xci imprinting model of fraX syndrome","","","","","hypothesis proposal?"
"23","Detection of a novel unbalanced X;21 translocation in a girl with Turner syndrome phenotype","kouvidi",2021,"case study","X;21","","","","","gene translocation leading to pseudodicentric X;21","","turnder syndrome phenotype, ovarian development and function","","","cytogenic analysis, HUMARA assay, methylation studies","","","","",""
"24","X chromosome inactivation in clinical practice","Ørstavik",2009,"review","","","","","","xci, mosaicism","","x-linked disorders","","","","","","","",""
"25","Female hyper IgM syndrome type 1 with a chromosomal translocation disrupting CD40LG","imai",2006,"study","CD40LG","","","x","","chromosomal/reciprocal translocation, skewed XCI","","hyper-igm syndrome, higm1, type 1 higm1","","","high-resolution chromosome banding, FISH analysis, four chimeric cDNA clones","","","","",""
"26","Mutations in PDHA1; The continual clinical and genetic heterogeneity story: Are there gender differences?","emrick",2012,"study","","","","x","","changes to gene/deficiency of gene","","pyruvate dehydrogenase complex deficiency","","","sequence analysis to ID mutations","","","","",""
"27","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"review","","","","","","xci","","sex organs, x-linked conditions","","","","","","x","",""
"28","Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated","jangouk",2012,"review","ABCD1","","","x","","mutations, peroxisomal beta-oxidation of long chain fatty axids, xci ","","x-linked adrenoleukodystrophy, x-ald, progressive myelopathy","","","","","","","",""
"29","Fabry disease: An ultrastructural comparative study of skin in hemizygous and heterozygous patients","navarro",2006,"study","","","","x","","alpha galactosidase A deficiency, levels of enzymatic activity in accordnce with xci","","x-linked lysosomal storage diorder, fabry disease","","","""electron microscopy and quantitative methods, we studied the extent of lysosomal deposits in dermal fibroblasts of normal-appearing skin in six females and nine men""","","","","",""
"30","X linked retininits pigmentosa","bird",1975,"study","","","","","","peripheral etinal pigment epithelial atrophy","","x-linked retinitis pigmentosa","","","","","","x","",""
"31","The 39,XO mouse as a model for the neurobiology of Turner syndrome and sex-biased neuropsychiatric disorders","",2007,"review","","","","","","loss of X","","turner syndrome","","","39,XO mouse model of TS (discussing it)","","","","",""
"32","Sex difference in Mecp2 expression during a critical period of rat brain development","kurian",2007,"study","MeCP2","","","","","expression levels","","pervasive developmental disorder, rett syndrome","","","rat model","","","","",""
"33","Small amounts of functional ATP7A protein permit mild phenotype","moller",2015,"study","ATP7A","","","x","","xci, mutations (what is the relationship between geno and pheno), preferential xci","","menkes disease, occipital horn syndrome, x-linked disal motor neuropathy","","","examination of xci pattern, effect of exon-deletions and duplications, splice site mutations","x","","","",""
"34","Alport's syndrome: can carriers be identified by audiometry?","sirimanna",1995,"study","","","","x","","","","alport's syndrome","","","examination of obligate nad possible carriers with pure-tone audiometry and audioscan method","","","","x",""
"35","Inheritance of most X-linked traits is not dominant or recessive, just X-linked","dobyns",2004,"review","","","","","","many (expression?)","","x-linked disorders","","","","","","","","contradicting original mendelian ideas"
"36","The role of oxidative stress in Rett syndrome: An overview","de felice",2012,"review","MeCP2","","","","","oxidative stress","","rett syndrome","","","","","","","",""
"37","Borjeson-Forssman-Lehmann syndrome in a girl","matsuo",1984,"case study","","","","","","potential skewed xci","","borjeson-forssman-lehmann syndrome","","","","","","","",""
"38","Mucopolysaccharidosis type II, Hunter's syndrome","tylki-szymanska",2014,"","","","","x","","","","hunter syndrome","","","","","","","",""
