"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","In preeclampsia (PE), placental tissues display specific expression of sexually dimorphic genes","ackerman",2018,"study","specific x/y linked genes","","","x","","hormonal signaling profiles","","naternal aberrant vascular reactivity","","","RNAseq of reproductive tissue","","","","",""
"2","Glucose-6-phosphate dehydrogenase deficiency and malaria: Cytochemical detection of heterozygous G6PD deficiency in women","peters",2009,"review","","","","x","","","","glucose-6-phosphate-dehydrogenase deficiency","","","proposal for method of diagnosis","","","","",""
"3","The molecular aetiology of haemophilia A in a New Zealand patient group","laurie",2007,"study","F8","","","","","xci, F8 mutations","","haemophilia a","","","factor eight gene analysis of cohort of 45, pcr, analysis of microsatellite markers","","","","",""
"4","Evaluation of clonality in myeloid stem-cell disorders","gale",1999,"","","","","","","clonality, xci (xci patterms), chromosomal translocations","","myeloid stem-cell disorders","","","discussion of different techniques for studying clonality i think","","","","",""
"5","Severe factor VIII deficiency in a chromosomally normal female","stormorken",1986,"case study","","","","","","???????, severe factor VIII deficiency","","hemophilia","","","factor VIII:C and factor VIII:CAg assays","","","","",""
"6","Spontaneous haemophilia in a genotypically normal female. A family study","afifi",1974,"case study","","","","","","severe antihaemophilic globulin deficiency","","spontaneous haemophilia a","","","","","","","",""
"7","Histone demethylase kdm6a contributes to X chromosome dependent ischemia/reperfusion injury via epigenetic regulation","li",2015,"experiment","KDM6A","","","x","","sex chromosome differences, exci, xci","","ischemia, reperifusion","","","mouse models, rnaseq, mouse heart analysis","","","","",""
"8","NIMA-related kinase 1 (NEK1) regulates meiosis I spindle assembly by altering the balance between alpha-Adducin and Myosin X","brieno-enriquez",2017,"study","NEK1, ADD1, MYO10","","","","","gene mutations, meiotic spindle formation","","anemia, polycystic kidney, infertility","","","","","","","x",""
"9","Reduced bone formation in males and increased bone resorption in females drive bone loss in hemophilia A mice","neale weitzmann",2019,"experiment","","","","x","","bone accretion","","hemophilia a, osteoporosis","","","skeleton phenotyping of f8 knockout mice with severe HA","","","","",""
"10","X Chromosome inactivation: a modifier of factor VIII and IX plasma levels and bleeding phenotype in Haemophilia carriers","garagiola",2021,"study","F8, F9","","","x (due to pattern of inheritence)","","gene variants, low FVIII or FIX coagulant activity","","hemophilia a, hemophilia b","","","HUMARA assay perforned in 73 symptomatic carreiers","","","","",""
"11","Studies on hemophilia in Sardinia bearing on the problems of multiple allelism, carrier detection, and differential mutation rate in the two sexes","Filippi",1984,"study","G6PD","","","","","","","hemophilia, hemophilia a","","","pedigree","","Sardinia","","",""
"12","Female haemophilia A in a family with seeming extreme bidirectional lyonization tendency: Abnormal premature X-chromosome inactivation?","Ingerslev",1989,"study","","","","","","extreme lyonization, xci","","haemophilia, haemophilia a","","","pedigree, case study","","","","",""
