cancer,autoimmune,immune,behavioral,chromosomal,neurological,development,aging,cardiovascular,intellectual,blood,body,stroke,hormonal,infectious,chronic pain,inflammation,metabolic,complex
melanoma,sjogren's,adaptive,depression,klinefelter,epilepsy,fetus,advanced maternal age,acute myocardial infarction,cognitive ability,hemophila,muscle,ischemic,antidiuretic,hiv/aids,chronic post-traumatic pain,acute,brain carnitine deficiency,
breast cancer,sle,immune diseases,autism,turner,fabry's,embryo,delayed child bearing,abdominal aortic aneurysms,down syndrome,hemophila A,obesity,early-onset stroke,androgen insensitivity,covid,comorbid chronic musculoskeletal pain,inflammatory disease,dysmyelination,
lung cancer,lupus,immune reconstitution inflammatory syndrome,schizophrenia,rett,nervous system,pregnancy,,AngII-induced abdominal aortic aneurysms,mental retardation limited to females,hemophila B,acidosis,,primary ovarian insufficiency,AIDS antiretroviral therapy,complex regional pain syndrome,inflammatory response,immunometabolism,
t-all,autoimmune hepatitis,immune response,antisocial behavior,x-linked,neurodevelopment,brain,,cardiomyopathies,intellectual disability limited to females,anemia,angioedema,,kallmann syndrome,hepatitis,,Lipopolysaccharide-mediated acute inflammation,metaboic response,
thyroid cancer,autoimmune liver,immunological,bpd,fragile x,neuropsychiatric,brain function,,coronary heart disease,idiopathic intellectual disability,glucose-6-phosphate-dehydrogenase deficiency,asthma,,,HIV-1,,,,
alveolar soft-part sarcoma,autoimmune thyroid,immunometabolism,major depressive disorder,alport,parkinson's,infant,,ischemic heart disease,intelligence,haemophilia,body composition,,,picornaviruses,,,,
bladder cancer,childhood-onset SLE,innate immunity,adolescent alchohol consumption,autosomal recessive erythropoietic protoporphyria,aicardi,neural tube defects,,hypertension,learning,hypertension,body weight,,,recurrent infections,,,,
carcinoma,chronic autoimmune thyroiditis,loss of t-cell tolerance,adolescent delinquency,borjeson-forssman-lehmann syndrome,alzheimer's,orofacial clefts,,mean arterial pressure,memory,ischemia,bone density,,,SARS,,,,
chronic myelogenous leukemia,complex autoimmune disorders,lymphomagenesis,aggressive and non-agressive risk taking,chromosomal instability,amyotrophic lateral sclerosis,congenital arhinia,,pre-eclampsia,speech delay,myeloid stem-cell disorders,chronic liver disease,,,SARS-CoV-2,,,,
chronic myeloproliferative disorders,lupus erythematosus,systemic immunosuppression detectable as suppression of contact hypersensitivity,alcoholism,congenital generalized hypertrichosis,brain masculinisation,cranial neural tube defect,,pulmonary arterial hypertension,,naternal aberrant vascular reactivity,delayed motor development,,,sepsis,,,,
corectal cancer,male sle,,alloparental care,cornelia de lange syndrome,brain sexual differentiation,placenta,,pulmonary hypertension,,spontaneous haemophilia A,dry eye disease,,,tuberculosis,,,,
cutaneous melanoma,multiple sclerosis,,cigarette smoking,craniofrontonasal syndrome,brain tumor,embryo lethality,,reperfusion,,,dyskeratosis congenita,,,viral infection,,,,
gall bladder cancer,myasthenia gravis,,cognitive and personality variability,genetic pathologies,cerebral cortical dysgenesis,embryo metabolism,,,,,exercise physiology,,,,,,,
gastric cancer,neuromuscular autoimmune disease,,depression during adolesence,hereditary ocular disease,charcot-marie-tooth disease,embryo survival,,,,,facioscapulohumeral muscular dystrophy type 2,,,,,,,
gliomas,neuromyelitis optica spectrum disorder,,dominance,HIGM1,dementia,female germ cells,,,,,fat distribution,,,,,,,
kidney cancer,primary biliary cholangitis,,homosexual,hunter syndrome,human pituitary tumors,fertility,,,,,hearing,,,,,,,
leukemia,primary biliary cirrhosis,,mood disorder,hyper-IgM syndrome,key brain structures,fetal morbitiy and mortalitity,,,,,height,,,,,,,
lung adenocarcinoma,rheumatoid arthritis,,parental care,icf syndrome,mental disorders,fetal ovarian development,,,,,hepatic diseases,,,,,,,
lymphoblastic leukemia,rheumatic,,pervasive developmental disorder,imprinting disorders,neurobehavioral disease,infertility,,,,,hyperplasia,,,,,,,
non-small cell lung cancer,systemic autoimmune diseases,,posttraumatic stress syndroms,incontinentia pigmenti bloch-sulzberger syndrome,neurodevelopment,male sterility,,,,,hypoplasia,,,,,,,
ovarian cancer,systemic sclerosis,,primary alcoholism,IPEX syndrome,peculiar electroencephalographic,mammalian oogenesis,,,,,hypotonia,,,,,,,
squamous cell carcinoma,thyroid autoimmunity,,psychiatric disease,kabuki syndrome,psychiatric disease,mixed gonadal dysgenesis,,,,,hypotrophy,,,,,,,
