"","key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"300","rayyan-902924972","Nonendocrine mechanisms of sex bias in rheumatic diseases",2019,NA,NA,"Nature Reviews Rheumatology","1759-4804 1759-4790",15,11,"673-686","Lambert, N. C.","https://www.embase.com/search/results?subaction=viewrecord&id=L2003484855&from=exporthttp://dx.doi.org/10.1038/s41584-019-0307-6",NA,NA,NA,"Rheumatic diseases affect a wide range of individuals of all ages, but the most common diseases occur more frequently in women than in men, at ratios of up to ten women to one man. Despite a growing number of studies on sex bias in rheumatic diseases, sex-specific health care is limited and sex specificity is not systematically integrated into treatment regimens. Women and men differ in three major biological points: the number of X chromosomes per cell, the type and quantities of sex hormones present and the ability to be pregnant, all of which have immunological consequences. Could a greater understanding of these differences lead to a new era of personalized sex-specific medicine? This Review focuses on the main genetic and epigenetic mechanisms that have been put forward to explain sex bias in rheumatic diseases, including X chromosome inactivation, sex chromosome aneuploidy and microchimerism. The influence of sex hormones is not discussed in detail in this Review, as it has been well described elsewhere. Understanding the sex-specific factors that contribute to the initiation and progression of rheumatic diseases will enable progress to be made in the diagnosis, treatment and management of all patients with these conditions.","L2003484855 2019-11-04 2019-11-07","10.1038/s41584-019-0307-6","microRNA;aneuploidy;autosomal disorder;copy number variation;epigenetics;gene;gene locus;gene silencing;genome-wide association study;heredity;human;microchimerism;nonhuman;pathophysiology;pregnancy;priority journal;review;rheumatic disease;sex chromosome;sex difference;X chromosome inactivation;X linked gene;Y chromosome;Rheumatic Diseases;Bias (Epidemiology)",NA,NA
"301","rayyan-902924973","X-chromosome-linked miR548am-5p is a key regulator of sex disparity in the susceptibility to mitochondria-mediated apoptosis",2019,9,11,"Cell Death Dis","",10,9,"673","Matarrese, P. and Tieri, P. and Anticoli, S. and Ascione, B. and Conte, M. and Franceschi, C. and Malorni, W. and Salvioli, S. and Ruggieri, A.","",NA,NA,NA,"Sex dimorphism in cell response to stress has previously been investigated by different research groups. This dimorphism could be at least in part accounted for by sex-biased expression of regulatory elements such as microRNAs (miRs). In order to spot previously unknown miR expression differences we took advantage of prior knowledge on specialized databases to identify X chromosome-encoded miRs potentially escaping X chromosome inactivation (XCI). MiR-548am-5p emerged as potentially XCI escaper and was experimentally verified to be significantly up-regulated in human XX primary dermal fibroblasts (DFs) compared to XY ones. Accordingly, miR-548am-5p target mRNAs, e.g. the transcript for Bax, was differently modulated in XX and XY DFs. Functional analyses indicated that XY DFs were more prone to mitochondria-mediated apoptosis than XX ones. Experimentally induced overexpression of miR548am-5p in XY cells by lentivirus vector transduction decreased apoptosis susceptibility, whereas its down-regulation in XX cells enhanced apoptosis susceptibility. These data indicate that this approach could be used to identify previously unreported sex-biased differences in miR expression and that a miR identified with this approach, miR548am-5p, can account for sex-dependent differences observed in the susceptibility to mitochondrial apoptosis of human DFs.","2041-4889 Matarrese, Paola Tieri, Paolo Orcid: 0000-0002-3635-7664 Anticoli, Simona Ascione, Barbara Conte, Maria Franceschi, Claudio Malorni, Walter Orcid: 0000-0002-1223-7000 Salvioli, Stefano Ruggieri, Anna Journal Article Research Support, Non-U.S. Gov't England 2019/09/13 Cell Death Dis. 2019 Sep 11;10(9):673. doi: 10.1038/s41419-019-1888-3.","10.1038/s41419-019-1888-3","Adult;Apoptosis/*genetics;Cells, Cultured;Chromosomes, Human, X/*metabolism;Databases, Genetic;Down-Regulation/genetics;Female;Fibroblasts/*metabolism;Genes, X-Linked;Humans;Male;MicroRNAs/genetics/*metabolism;Mitochondria/*genetics/metabolism;Sex Characteristics;Up-Regulation/genetics;X Chromosome;Mitochondria",NA,NA
"302","rayyan-902924974","XWAS: A Software Toolset for Genetic Data Analysis and Association Studies of the X Chromosome",2015,NA,NA,"Journal of Heredity","1465-7333 0022-1503",106,5,"666-671","Gao, F. and Chang, D. and Biddanda, A. and Ma, L. and Guo, Y. and Zhou, Z. and Keinan, A.","https://www.embase.com/search/results?subaction=viewrecord&id=L606039763&from=exporthttp://dx.doi.org/10.1093/jhered/esv059",NA,NA,NA,"XWAS is a new software suite for the analysis of the X chromosome in association studies and similar genetic studies. The X chromosome plays an important role in human disease and traits of many species, especially those with sexually dimorphic characteristics. Special attention needs to be given to its analysis due to the unique inheritance pattern, which leads to analytical complications that have resulted in the majority of genome-wide association studies (GWAS) either not considering X or mishandling it with toolsets that had been designed for non-sex chromosomes. We hence developed XWAS to fill the need for tools that are specially designed for analysis of X. Following extensive, stringent, and X-specific quality control, XWAS offers an array of statistical tests of association, including: 1) the standard test between a SNP (single nucleotide polymorphism) and disease risk, including after first stratifying individuals by sex, 2) a test for a differential effect of a SNP on disease between males and females, 3) motivated by X-inactivation, a test for higher variance of a trait in heterozygous females as compared with homozygous females, and 4) for all tests, a version that allows for combining evidence from all SNPs across a gene. We applied the toolset analysis pipeline to 16 GWAS datasets of immune-related disorders and 7 risk factors of coronary artery disease, and discovered several new X-linked genetic associations. XWAS will provide the tools and incentive for others to incorporate the X chromosome into GWAS and similar studies in any species with an XX/XY system, hence enabling discoveries of novel loci implicated in many diseases and in their sexual dimorphism.","L606039763 2015-09-22 2015-09-28","10.1093/jhered/esv059","article;autoimmune disease;bioinformatics;coronary artery disease;data analysis software;effect size;female;genetic analysis;genetic association;genetic marker;genetic risk;heterozygote;homozygote;human;male;priority journal;quality control procedures;quantitative genetics;risk assessment;sex difference;single nucleotide polymorphism;systolic blood pressure;X chromosome;X chromosome inactivation;X chromosome linked disorder;X Chromosome;Software",NA,NA
"303","rayyan-902924975","X chromosome association testing in genome wide association studies",2011,11,NA,"Genet Epidemiol","0741-0395",35,7,"664-670","Hickey, P. F. and Bahlo, M.","",NA,NA,NA,"Genome wide association studies (GWAS) have revealed many fascinating insights into complex diseases even from simple, single-marker statistical tests. Most of these tests are designed for testing of associations between a phenotype and an autosomal genotype and are therefore not applicable to X chromosome data. Testing for association on the X chromosome raises unique challenges that have motivated the development of X-specific statistical tests in the literature. However, to date there has been no study of these methods under a wide range of realistic study designs, allele frequencies and disease models to assess the size and power of each test. To address this, we have performed an extensive simulation study to investigate the effects of the sex ratios in the case and control cohorts, as well as the allele frequencies, on the size and power of eight test statistics under three different disease models that each account for X-inactivation. We show that existing, but under-used, methods that make use of both male and female data are uniformly more powerful than popular methods that make use of only female data. In particular, we show that Clayton's one degree of freedom statistic [Clayton, 2008] is robust and powerful across a wide range of realistic simulation parameters. Our results provide guidance on selecting the most appropriate test statistic to analyse X chromosome data from GWAS and show that much power can be gained by a more careful analysis of X chromosome GWAS data.","1098-2272 Hickey, Peter F Bahlo, Melanie Journal Article Research Support, Non-U.S. Gov't United States 2011/08/06 Genet Epidemiol. 2011 Nov;35(7):664-70. doi: 10.1002/gepi.20616. Epub 2011 Aug 4.","10.1002/gepi.20616","Case-Control Studies;*Chromosomes, Human, X;Female;Gene Frequency;Genetic Predisposition to Disease;Genome-Wide Association Study/*statistics & numerical data;Humans;Male;*Models, Genetic;*Models, Statistical;Phenotype;Sex Ratio;X Chromosome;Genome",NA,NA
"304","rayyan-902924976","SmcHD1, containing a structural-maintenance-of-chromosomes hinge domain, has a critical role in X inactivation",2008,NA,NA,"Nature Genetics","1061-4036 1546-1718",40,5,"663-669","Blewitt, M. E. and Gendrel, A. V. and Pang, Z. and Sparrow, D. B. and Whitelaw, N. and Craig, J. M. and Apedaile, A. and Hilton, D. J. and Dunwoodie, S. L. and Brockdorff, N. and Kay, G. F. and Whitelaw, E.","https://www.embase.com/search/results?subaction=viewrecord&id=L351601224&from=exporthttp://dx.doi.org/10.1038/ng.142",NA,NA,NA,"X-chromosome inactivation is the mammalian dosage compensation mechanism by which transcription of X-linked genes is equalized between females and males. In an N-ethyl-N-nitrosourea (ENU) mutagenesis screen on mice for modifiers of epigenetic reprogramming, we identified the MommeD1 (modifier of murine metastable epialleles) mutation as a semidominant suppressor of variegation. MommeD1 shows homozygous female-specific mid-gestation lethality and hypomethylation of the X-linked gene Hprt1, suggestive of a defect in X inactivation. Here we report that the causative point mutation lies in a previously uncharacterized gene, Smchd1 (structural maintenance of chromosomes hinge domain containing 1). We find that SmcHD1 is not required for correct Xist expression, but localizes to the inactive X and has a role in the maintenance of X inactivation and the hypermethylation of CpG islands associated with the inactive X. This finding links a group of proteins normally associated with structural aspects of chromosome biology with epigenetic gene silencing. © 2008 Nature Publishing Group.","L351601224 2008-05-29","10.1038/ng.142","chromosome protein;structural maintenance of chromosomes hinge domain containing 1;animal cell;animal experiment;animal model;article;chromosome structure;controlled study;CpG island;epigenetics;female;gene expression;gene mutation;gene silencing;male;methylation;mouse;nonhuman;priority journal;protein domain;sex difference;X chromosome;X chromosome aberration;X chromosome inactivation",NA,NA
"305","rayyan-902924977","Sex ratio and rheumatic disease: Excerpts from an institute of medicine report",2002,NA,NA,"Lupus","0961-2033",11,10,"662-666","Lockshin, M. D.","https://www.embase.com/search/results?subaction=viewrecord&id=L35244428&from=exporthttp://dx.doi.org/10.1191/0961203302lu274oa",NA,NA,NA,"Some autoimmune diseases have high female/male (F/M) ratios. Definitions and classifications of autoimmune diseases differ, as do the F/M ratios themselves. The sex ratio of lupus is the single most prominent, little explored clinical fact that may lead to understanding of how lupus and other autoimmune diseases occur. The objective of this study was to evaluate evidence for causes of high F/M ratios of autoimmune and non-immunologic diseases. This was done by a literature review. Some thyroid, rheumatic and hepatic diseases consistently have high F/M ratios; other autoimmune diseases have low ratios. Because F/M ratios reflect disease incidence, not disease severity, an intrinsic biologic cause for the F/M ratios (such as estrogen) would be likely to act through a threshold or permissive mechanism rather than through quantitative immunomodulation. Sex differences related to environmental exposure, X-inactivation, imprinting, X or Y chromosome genes and intrauterine influences are other possible explanations for sex differences of incidence. The epidemiology of the sex discrepant autoimmune diseases, young, female, suggests that an explanation for sex discrepancy lies in differential exposure, vulnerable periods or thresholds, rather than in quantitative aspects of immunomodulation.","L35244428 2002-11-12","10.1191/0961203302lu274oa","estrogen;autoimmune disease;behavior;conference paper;environmental exposure;environmental factor;genome imprinting;human;immunomodulation;incidence;liver disease;priority journal;rheumatic disease;sex difference;sex ratio;thyroid disease;X chromosome;X chromosome inactivation;Y chromosome;Sex Ratio;Rheumatic Diseases",NA,NA
"306","rayyan-902924978","Genetics and Epigenetics of Sex Bias: Insights from Human Cancer and Autoimmunity",2020,9,NA,"Trends in Genetics","0168-9525 1362-4555 J9 - TRENDS GENET",36,9,"650-663","Credendino, S. C. and Neumayer, C. and Cantone, I.","",NA,NA,NA,"High-throughput sequencing and genome-wide association studies have revealed a sex bias in human diseases. The underlying molecular mechanisms remain, however, unknown. Here, we cover recent advances in cancer and autoimmunity focusing on intrinsic genetic and epigenetic differences underlying sex biases in human disease. These studies reveal a central role of genome regulatory mechanisms including genome repair, chromosome folding, and epigenetic regulation in dictating the sex bias. These highlight the importance of considering sex as a variable in both basic science and clinical investigations. Understanding the molecular mechanisms underlying sex bias in human diseases will be instrumental in making a first step forwards into the era of personalized medicine.","Times Cited in Web of Science Core Collection: 12 Total Times Cited: 12 Cited Reference Count: 119","10.1016/j.tig.2020.06.016","x-chromosome inactivation;mismatch repair;thyroid-cancer;comprehensive characterization;microsatellite instability;molecular characterization;mutational signatures;driver genes;t-cells;susceptibility;Humanities;Humanism;Humans;Bias (Epidemiology)",NA,NA
"307","rayyan-902924979","Sex differences in response of the bovine embryo to colony-stimulating factor 2",2016,12,NA,"Reproduction","1470-1626 J9 - REPRODUCTION",152,6,"645-654","Siqueira, L. G. B. and Hansen, P. J.","",NA,NA,NA,"We tested whether gene expression of the bovine morula is modified by CSF2 in a sex-dependent manner and if sex determines the effect of CSF2 on competence of embryos to become blastocysts. Embryos were produced in vitro using X-or Y-sorted semen and treated at Day 5 of culture with 10 ng/mL bovine CSF2 or control. In experiment 1, morulae were collected at Day 6 and biological replicates (n = 8) were evaluated for transcript abundance of 90 genes by RT-qPCR using the Fluidigm Delta Gene assay. Expression of more than one-third (33 of 90) of genes examined was affected by sex. The effect of CSF2 on gene expression was modified by sex (P < 0.05) for five genes (DDX3Y/DDX3X-like, NANOG, MYF6, POU5F1 and RIPK3) and tended (P < 0.10) to be modified by sex for five other genes (DAPK1, HOXA5, PPP2R3A, PTEN and TNFSF8). In experiment 2, embryos were treated at Day 5 with control or CSF2 and blastocysts were collected at Day 7 for immunolabeling to determine the number of inner cell mass (ICM) and trophectoderm (TE) cells. CSF2 increased the percent of putative zygotes that became blastocysts for females, but did not affect the development of males. There was no effect of CSF2 or interaction of CSF2 with sex on the total number of blastomeres in blastocysts or in the number of inner cell mass or trophectoderm cells. In conclusion, CSF2 exerted divergent responses on gene expression and development of female and male embryos. These results are evidence of sexually dimorphic responses of the preimplantation embryo to this embryokine.","Times Cited in Web of Science Core Collection: 26 Total Times Cited: 27 Cited Reference Count: 56","10.1530/rep-16-0336","x-chromosome inactivation;Sex Characteristics",NA,NA
"308","rayyan-902924980","The mouse X chromosome is enriched for sex-biased genes not subject to selection by meiotic sex chromosome inactivation",2004,NA,NA,"Nature Genetics","1061-4036",36,6,"642-646","Khil, P. P. and Smirnova, N. A. and Romanienko, P. J. and Camerini-Otero, R. D.","https://www.embase.com/search/results?subaction=viewrecord&id=L38715994&from=exporthttp://dx.doi.org/10.1038/ng1368",NA,NA,NA,"Sex chromosomes are subject to sex-specific selective evolutionary forces. One model predicts that genes with sex-biased expression should be enriched on the X chromosome. In agreement with Rice's hypothesis, spermatogonial genes are over-represented on the X chromosome of mice and sex- and reproduction-related genes are over-represented on the human X chromosome. Male-biased genes are under-represented on the X chromosome in worms and flies, however. Here we show that mouse spermatogenesis genes are relatively under-represented on the X chromosome and female-biased genes are enriched on it. We used Spo11 -/- mice blocked in spermatogenesis early in meiosis to evaluate the temporal pattern of gene expression in sperm development. Genes expressed before the Spo11 block are enriched on the X chromosome, whereas those expressed later in spermatogenesis are depleted. Inactivation of the X chromosome in male meiosis may be a universal driving force for X-chromosome demasculinization.","L38715994 2004-06-22","10.1038/ng1368","animal cell;article;female;Diptera;gene expression;male;meiosis;mouse;nonhuman;priority journal;sex;sex chromosome;species difference;spermatogenesis;spermatogonium;worm;X chromosome inactivation;Mice;X Chromosome;Sex Chromosomes;Patient Selection",NA,NA
"309","rayyan-902924981","Bioinformatics Analysis of Differential Expressed Gene in Sle with and without Nephritis in Male and Female Patients to Identify Gene in Common as a Candidate Molecular Pathway",2020,NA,NA,"American Journal of Kidney Diseases","1523-6838 0272-6386",75,4,"642","Suwanwongse, K. and Shabarek, N.","https://www.embase.com/search/results?subaction=viewrecord&id=L2005716731&from=exporthttp://dx.doi.org/10.1053/j.ajkd.2020.02.364",NA,NA,NA,"Systemic lupus erythematous (SLE) is one of the most common autoimmune disease that can destroy any organ systems. SLE incidence in female is substantially higher than males, but males tend to have more severe manifestations including greater risk of lupus nephritis (LN). Aberrant genetic expression of immune cells plays a vital role in pathogenesis of SLE and may explain gender diapariesties. We conducted bioinformatic analysis of differentially expressed genes (DEGs) in SLE females and males with and without LN to identify gene differences and possible sex-tailored treatment. The gene expression profiling datasets (GSE 99967) were obtained from Gene Expression Omnibus database: www.ncbi.nlm.nih.gov/geo and analyzed by GEO2R platform. GSE 99967 used ffymetrix Human Gene 2.0 ST Array and mRNA from whole blood. The t-test was done and adjusted P-value < 0.03 by Benjamini & Hochberg method was a threshold for statistically significant DEGs. 15 and 13 DEGs were obtained comparing SLE females with SLE males without and with LN, respectively. 13 common genes identified in both comparisons. XIST was the only down-regulated gene in male, located at X chromosome and responsible for initiation and spread of X-inactivation. X inactivation provides XIST dosage equivalence between genders. This suggested altered X-chromosome inactivation lead to female bias in SLE. Of 12 common up-regulated genes in male, 10 located at Y chromosome and showed a decrease up-regulated in SLE males with LN compare to without. A markly DEGs drop was found in TXLNGY, UTY and USP9Y, located at Yq 11.22. TXLNGY is a pseudo-gene so may not have roles in sex bias. UTY is a male-specific histone demethylase and USP9Y regulates level of protein turnover by preventing protein degradation including TGF-beta signaling. Change in UTY and USP9Y expression may associate with developing LN and drugs modifying their expression might benefit in treatment or prevention of LN in SLE males. The study enhanced an understanding of SLE sexual bias. Aberrant XIST inactivation may cause different incidence of SLE among gender. Drugs changing XIST expression might cure SLE. Change in UTY and USP9Y expression may relate to LN in male and drugs altering their expression might help in LN treatment and prevention.","L2005716731 2020-05-07","10.1053/j.ajkd.2020.02.364","endogenous compound;histone demethylase;messenger RNA;adult;bioinformatics;conference abstract;controlled study;female;gender;gene expression profiling;human;human cell;incidence;lupus erythematosus nephritis;male;prevention;protein degradation;protein expression;pseudogene;TGF beta signaling;X chromosome inactivation;Y chromosome;Gene Expression;Computational Biology",NA,NA
