"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"1","Influence of gender in muscle disorders","mongini",2014,"review","","","","x","","","","muscle disorders","","","","","","","",""
"2","Role of X chromosome defects in primary biliary cirrhosis","invernizzi",2007,"review","","","","x","","x monosomy","","primary billiary cirrhosis, chronic liver disease, autoimmune disease","","","","","","","",""
"3","Similar increase in bone resorption and decrease in bone mass but opposite effects in osteocytic gene expression in female versus male mice with FMR1 deletion, a model of fragile X syndrome","davis",2017,"experiment","FMR1","","","x","","FMR1 deletion","","fragile x syndrome, x-linked disease, bone density","","","mice","","","","",""
"4","The number of x chromosomes causes sex differences in adiposity in mice","chen",2012,"study","","","","x","amount of X?","exci","","body weight, fat distribution, metabolic disease","","","mouse model ","","","","",""
"5","Sex differences in skeletal muscle revealed through fiber type, capillarity, and transcriptomics profiling in mice","o'reilly",2021,"experiment","some specific genes mentioned","","","x","","","","muscle profile","","","mice","","","","",""
"6","Neural growth hormone implicated in body weight sex differences","bonthuis ",2013,"experiment","?","","","x","chrX dosage","hormones; Gh gne expression","","behavioral, obseity","","","mice?","","","","",""
"7","Highly skewed inactivation of the wild-type X-chromosome in asymptomatic female carriers of spinal and bulbar muscular atrophy (Kennedy's disease)","paradas",2008,"study","","","","","","skewed inactivation of wild-type chromosome","","spinal and bulbar muscular atrophy","","","family study","","","x","",""
"8","Root lengths in the permanent teeth of Klinefelter (47,XXY) men","lahdesmaki",2007,"study","","","","","","","","teeth, klinefelter","","","","","","","x","i literally don't gaf this is not relevant to what we're doing"
"9","Influence of gender in muscle disorders","mongini",2014,"review","","","","x","","chrX abnormalities ","","muscle disorders","","","","","","","",""
"10","Role of the chromosome architectural factor SMCHD1 in X-chromosome inactivation, gene regulation, and disease in humans","wang",2019,"analysis","SMCHD1","","","interestingly, they're noting no sex differences despite xci","dosage imbalance","xci; homozygous nonsense mutations","","congenital arhinia, facioscapulohumeral muscular dystrophy type 2","","","analysis of transcriptomic data from arinhia and FSHD2 patient blood and muscle cells","","","","",""
"11","Dyskeratosis Congenita (DC) Registry: identification of new features of DC","knight",1998,"","DKC1, Xq28","","","","","x-linked, skewed x-inactivation patterns","","dyskeratosis congenita","","","","","","","",""
"12","Progressive cerebellar degenerative changes in the severe mental retardation syndrome caused by duplication of MECP2 and adjacent loci on Xq28","reardon",2010,"case studies","MECP2, Xq28","","","","","localized duplications","","x-linked mental deficiency, hypotonia, recurrent infections","","","","","","","",""
"13","Sex and life expectancy","sandovici",2004,"review","","","","x","","a bunch","","life expectancy","","","","","","","",""
"14","Genetic and developmental analysis of X-inactivation in interspecific hybrid mice suggests a role for the Y chromosome in placental dysplasia","hemberger",2001,"study","Pgk1","","","x","","","","hyperplasia, hypoplasia","fetal sex on placental development","","","","","","","mice"
"15","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"review","","","","","","xci","","sex organs, x-linked conditions","","","","","","x","",""
"16","Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated","jangouk",2012,"review","ABCD1","","","x","","mutations, peroxisomal beta-oxidation of long chain fatty axids, xci ","","x-linked adrenoleukodystrophy, x-ald, progressive myelopathy","","","","","","","",""
"17","Sex-related factors in autoimmune liver diseases","schwinge",2019,"review","","","","x","","","","autoimmune diseases, autoimmune hepatitis, primary biliry chrolangitis, primary sclerosing cholangitis, autoimmune liver diseases","","","","","","","",""
"18","Sex ratio and rheumatic disease","lockshin",2002,"review","","","","x","","xci, imprinting, x/y chr genetic modulators, intrauterine influences, etc etc","","thyroid, rheumatic, hepatic diseases","","","","","","","",""
"19","Advancing our understanding of the inheritance and transmission of pectus excavatum","horth",2012,"study","pectus disease-associated allele","","","x","","autosomal recessive, genetic control, xci?","","pectus excavatum","","","evaluation of 48 peidgrees and 56 clinical traits","","","","",""
"20","Aetiology of idiopathic scoliosis: Current concepts","burwell",2003,"review","","","","","","growth velocity, potential residual spinal growth assessed by maturuity factors, among other things","","three-dimensional spinal deformity of idopathic sclerosis, progressive adolescent idiopathic sclerosis","","","","","","","",""
